"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TG","Tredegar Corporation","19","627573610","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/tg",
"TPH","TRI Pointe Group, Inc.","14.3","2164138919.8","n/a","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tph",
"TRS","TriMas Corporation","27.95","1277906422","n/a","2007","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/trs",
"TRMB","Trimble Inc.","40.62","10282968476.22","n/a","1990","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trmb",
"TRN","Trinity Industries, Inc.","34.73","5255884832.32","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/trn",
"TGI","Triumph Group, Inc.","31.7","1573056105.7","n/a","1996","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tgi",
"USCR","U S Concrete, Inc.","77.4","1238793424.2","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/uscr",
"UFPT","UFP Technologies, Inc.","28.35","206038217.7","n/a","1993","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/ufpt",
"UFAB","Unique Fabricating, Inc.","9","87808122","n/a","2015","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.27","18221801.31","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/uamy",
"UTX","United Technologies Corporation","118.23","94412868104.73","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/utx",
"OLED","Universal Display Corporation","128.1","6024688649.7","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/oled",
"UQM","UQM TECHNOLOGIES INC","1.26","68056662.24","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/uqm",
"USG","USG Corporation","32.23","4622098982.05","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/usg",
"VMI","Valmont Industries, Inc.","159.6","3605513066.4","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/vmi",
"VREX","Varex Imaging Corporation","33.17","1248230950.74","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vrex",
"VEDL","Vedanta  Limited","20.05","18632436107.95","n/a","2013","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/vedl",
"VICR","Vicor Corporation","23.75","932264711.25","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vicr",
"VSH","Vishay Intertechnology, Inc.","20.5","2998208025","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vsh",
"VPG","Vishay Precision Group, Inc.","24.2","321655873","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vpg",
"VSTO","Vista Outdoor Inc.","21.75","1240776513","n/a","2015","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/vsto",
"VC","Visteon Corporation","125.73","3919232928.6","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/vc",
"VSLR","Vivint Solar, Inc.","3.8","434967440.8","n/a","2014","Capital Goods","Building Products","http://www.nasdaq.com/symbol/vslr",
"VJET","voxeljet AG","5.55","103230000","n/a","2013","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vjet",
"WNC","Wabash National Corporation","22.44","1324302344.64","n/a","1991","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","149.79","8033410707.45","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wbc",
"WAT","Waters Corporation","185.88","14837605191.6","n/a","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wat",
"WTS","Watts Water Technologies, Inc.","69.45","2374393200.15","n/a","1986","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wts",
"WAIR","Wesco Aircraft Holdings, Inc.","9.75","970898789.25","n/a","2011","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/wair",
"WAB","Westinghouse Air Brake Technologies Corporation","75.6","7256423890.8","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/wab",
"WTT","Wireless Telecom Group,  Inc.","1.59","35587179.66","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/wtt",
"WKHS","Workhorse Group, Inc.","2.79","104281657.02","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wkhs",
"WOR","Worthington Industries, Inc.","43.72","2716935680","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/wor",
"XCRA","Xcerra Corporation","9.82","537268874.36","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XYL","Xylem Inc.","64.56","11592940681.44","n/a","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
"YECO","Yulong Eco-Materials Limited","0.92","11090898.08","n/a","2017","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"ZKIN","ZK International Group Co., Ltd","8.69","117315000","n/a","2017","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/zkin",
